,mean,std
pers01,0.6873074294341949,0.012336259316984339
pers02,0.6512297002484647,0.02235480944813677
linreg01,0.7061949513702916,0.016539021612700898
forest01,0.7219641197709319,0.013195961113750135
extrees01,0.7240154824043823,0.015064285964100243
knn01,0.7342717576450971,0.014174031764533601
linreg02,0.6940059675605822,0.014613873969631496
forest02,0.6778110468780282,0.014899173898318888
extrees02,0.6731157195982473,0.01705848024753676
knn02,0.6920337738704074,0.014478373971240568
