index,mean,std
pers_00m,0.6873074294341949,0.012336259316984339
pers_30m,0.6512297002484647,0.02235480944813677
linreg_8f,0.7061949513702916,0.016539021612700898
forest_8f,0.7219641197709319,0.013195961113750135
extrees_8f,0.7240154824043823,0.015064285964100243
knn_8f,0.7340453048622099,0.01772222035368065
linreg_4f,0.6940059675605822,0.014613873969631496
forest_4f,0.6778110468780282,0.014899173898318888
extrees_4f,0.6731157195982473,0.01705848024753676
knn_4f,0.6928534016270809,0.01623763167659728
