index,mean,std
pers_00m,0.6929579675432174,0.011468513621709166
pers_30m,0.6548017794484837,0.016768367184073416
linreg_8f,0.6573392575481872,0.013764874110869268
forest_8f,0.7025903676140736,0.004466363609736295
extrees_8f,0.7081863380286327,0.00848079512417411
knn_8f,0.7048108650075835,0.009864449445574878
linreg_4f,0.6480017157463658,0.012956728217539735
forest_4f,0.6658908433600824,0.008617713118871672
extrees_4f,0.6637327434068704,0.008915922123104509
knn_4f,0.6758978479811164,0.00930416475841652
